fg_class,total_trades,win_rate,avg_leverage,avg_trade_size
Extreme Fear,21400,0.7621564482029598,0.0324815880480996,6773.464125428701
Extreme Greed,39992,0.8916702632714717,1.4867981762311,5371.637181741856
Fear,61837,0.8728864734299517,0.06505546020461188,8975.928545864448
Greed,50303,0.7689068954559898,3.5896909073399472,6427.866594360551
Neutral,37686,0.8238889806707418,0.04280636972530279,6963.694860853634
