Account,total_pnl,avg_daily_pnl,std_daily_pnl,avg_win_rate,avg_trade_count,avg_trade_size,avg_equity_leverage,max_equity_leverage,avg_long_short_ratio,margin_crossed_ratio,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,66676.242499125,150401.79734551374,0.7142971601992828,159.08333333333334,33569.102223713766,124.86213173603203,9312.9,1.9701071215815391,0.11210057621791514,1,High-Leverage Speedrunners
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,920.8715483461539,3603.0422910248762,0.7060020913796461,140.0,4359.8309302466505,0.03211312288457654,1.2462006706675555,0.993201047376841,0.7755494505494506,0,Low-Activity Moderate Traders
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-5869.682609833333,33420.410013838264,0.7100910112375716,317.4166666666667,11057.118418553686,0.24465985065774118,33.20926008331813,2.634896984202327,0.6547650301916513,0,Low-Activity Moderate Traders
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,817.6840404567902,2993.2847018942703,0.8740295146598106,82.16666666666667,484.8442941619222,0.0024191314131983533,0.1501013402899576,1.808325411686575,0.9454586432274059,0,Low-Activity Moderate Traders
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,2444.3189129565217,4867.743468797183,0.7615892289549481,46.94202898550725,2553.7570373757217,0.0157918218917013,0.7808662884913707,0.749891106957797,0.7573325100339611,0,Low-Activity Moderate Traders
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-725.6651159534885,10110.280939662283,0.5850878742851736,18.953488372093023,1613.2556722621034,0.017097561882542748,1.2458427853712617,0.30435056957210127,0.15460122699386503,2,Consistent Profit-Scalpers
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336,314.2808551304348,14586.482779999604,0.730334962549253,78.02173913043478,28188.549085190585,0.24713137754438622,7.474930795225746,0.7847297177236511,0.07522986904430204,2,Consistent Profit-Scalpers
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,1910.5802586785715,5774.468515461301,0.7678571428571429,11.857142857142858,9812.51560528366,0.07710856675331464,0.4343466880937831,1.4145330859616574,0.3463855421686747,2,Consistent Profit-Scalpers
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,9975.2796366,20797.39604487325,0.75,19.15,8334.762260556681,0.06238992336608201,0.831809669684792,0.5865201408304856,0.206266318537859,2,Consistent Profit-Scalpers
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,14876.49544075,32725.08326015729,0.625,44.17857142857143,2525.945975144083,0.013324796889332116,0.46192083698299585,0.2955357142857143,0.22797089733225545,2,Consistent Profit-Scalpers
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,717.6646955625,2484.2443189649503,0.7998047939203643,59.15972222222222,516.6442989710463,0.002862818547013809,0.11969930962381196,1.8687493361108842,0.705716633407677,0,Low-Activity Moderate Traders
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,11685.293976603449,25344.26848460951,0.79878024274576,75.10344827586206,16024.724760769133,0.04138441502355427,1.4513181207266794,3.3335169657869224,0.5580808080808081,0,Low-Activity Moderate Traders
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,962.5416502056074,7430.255413150263,0.787914397135121,23.626168224299064,16038.456425115373,0.11633280046048237,3.8151868469663497,1.7423577269159245,1.0,0,Low-Activity Moderate Traders
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,21549.296287589743,42171.74469920306,0.7257314060717782,313.7435897435897,27603.84521556422,0.06483675275476844,12.565755229425825,1.0972126591610145,0.7749264465511605,0,Low-Activity Moderate Traders
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,2313.4301440851063,7470.04650016332,0.7700945626477541,20.74468085106383,867.1703611532234,0.004371862847354855,0.08337157990553817,1.4412926839507099,0.961025641025641,0,Low-Activity Moderate Traders
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,22597.66136394737,80215.01097553849,0.51417004048583,83.6842105263158,9367.295108536868,0.027131614313137,1.7612830945184366,0.7469374323210045,0.07735849056603773,2,Consistent Profit-Scalpers
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,5546.761692753847,23406.44232359817,0.5887124640065816,21.907692307692308,4688.041802175383,0.028763919896249223,0.2376861847135494,0.8442513432632796,0.0028089887640449437,2,Consistent Profit-Scalpers
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,2596.5438815821917,4762.374293945578,0.8752589896602366,67.76027397260275,3354.2092903010684,0.01276934119791767,0.42733022948362237,4.4675490741339265,0.3174972202567472,0,Low-Activity Moderate Traders
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,573.0939633461538,873.4108109517282,0.7830772901639043,59.96153846153846,6760.1144210194525,0.0629697595444447,1.3066548033336227,0.9619060584935782,0.09557408595253368,2,Consistent Profit-Scalpers
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-1821.9687476195652,38190.08942383133,0.6448473033967228,50.01086956521739,2782.687344213111,0.7846489940526493,2144.0,1.4697518648252927,0.14953271028037382,2,Consistent Profit-Scalpers
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,1213.215887148148,5511.299034566663,0.6406148342482082,35.388888888888886,5475.174210575846,0.03715147780641378,4.203515423147818,1.1981773822800348,0.9403453689167975,0,Low-Activity Moderate Traders
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,252.3966033103448,3367.9125184012946,0.7985780678564521,86.19540229885058,839.021370213006,0.006983054765438119,0.3129360946363106,1.7043543882979888,0.7810374716628884,0,Low-Activity Moderate Traders
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,7032.163451888889,15642.867721081608,0.663947163947164,169.55555555555554,12481.488695021257,0.06672726105038451,1.954646143856031,4.253149891308806,0.9282437745740498,0,Low-Activity Moderate Traders
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,1660.982425875,2678.372530919574,0.8465559043649542,243.828125,1273.0527781456335,0.008048668369584186,2.6294126688764896,2.0960872006187135,0.10471002883691125,0,Low-Activity Moderate Traders
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,1968.8238992432432,7523.577871362993,0.6081081081081081,11.27027027027027,2007.3297785771122,0.019217597752404253,1.1397934550998559,0.4139182085610657,0.60431654676259,2,Consistent Profit-Scalpers
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,4523.0413020666665,8542.12051178745,0.7333333333333333,37.53333333333333,2959.4760618012087,0.023770943721724103,0.3567631177837462,0.9542973103219782,1.0,0,Low-Activity Moderate Traders
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,1087.94158765,2029.2695425579952,0.7459302325581396,26.7,18919.354152424097,0.1749448730636371,1.581837215244585,2.338347627634563,0.0599250936329588,2,Consistent Profit-Scalpers
