Feature,Importance
daily_pnl,0.13255545306540467
total_fee,0.11242786991122436
trade_count,0.11043661493844543
total_volume_usd,0.11011015693615382
avg_equity_leverage,0.10291909163646551
avg_trade_size_usd,0.10195924179446864
long_short_ratio,0.09539982567488585
fg_value_change_3d,0.08233742429309616
fg_value,0.07934840385362894
win_rate,0.0725059178962266
