Account,max_dd_fear,max_dd_greed,max_dd_neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,327505.900056,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,5100.872638999999,4648.871055000003,2315.3771909999996
0x271b280974205ca63b716753467d5a371de622ab,0.0,108176.9187,19037.340561
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,23140.095088000002,1416.906535999995,902.071484
0x2c229d22b100a7beb69122eed721cee9b24011dd,0.0,731.9024760000001,3323.090682000002
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,66669.440571,5978.38652,2809.17211
0x39cef799f8b69da1995852eea189df24eb5cae3c,78139.659717,11641.498591,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,0.0,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,0.0,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,18901.688931999997,782.6517170000006,364.2210150000001
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,791.2981900000013,2427.8737989999936,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,113383.71529,36565.985440000004,36229.641811
0x513b8629fe877bb581bf244e326a047b249c4ff1,71121.82070400001,0.0,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,0.0,0.0,89.17810000000009
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,58219.752261,6150.0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,9046.140000000014,0.0,8073.5984690000005
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6213.290064,3249.3814380000113,22303.603584
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,372.7646399999999,0.0,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,9584.869233000005,383060.830909,3556.388256
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,4968.487948,21.54374,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,103.71342199999981,27087.802198,7859.367798000001
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,621.5450599999999,0.0,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,0.0,0.0,6194.283149
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,17732.344055,0.0,53.631353999999995
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,0.0,0.0,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1646.3528999999999,0.0,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8394.889856,5538.605404,6327.044717999999
0xb899e522b5715391ae1d4f137653e7906c5e2115,68676.660041,,1610.0909120000001
0xbaaaf6571ab7d571043ff1e313a9609a10637864,0.0,0.0,0.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,82755.89572900001,18714.240328,113601.020138
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,17468.992594999992,82781.27120500011,10373.274402000003
